transaction_ID,transaction_date,Year_Birth,Marital_Status,MntFruits,Education,Income,children_categorical,teen_categorical,income_standardize,maritalstat_categorical,spender_class
3469,9/6/12,1977,Not Married,18,PhD,34487,1,1,0.20388132,0,0
10010,9/6/12,1953,Not Married,2,PhD,36957,1,1,0.219254732,0,0
1403,9/6/12,1975,Not Married,4,2n Cycle,34984,1,1,0.206974674,0,0
4023,9/6/12,1970,Married,17,Graduation,22979,1,0,0.132254912,1,0
3076,9/7/12,1975,Not Married,18,Graduation,66653,1,1,0.404084224,0,0
6233,9/7/12,1976,Married,19,Graduation,65991,0,1,0.3999639,1,0
1777,9/7/12,1980,Married,2,Basic,25965,0,0,0.150839936,1,0
10352,9/7/12,1963,Not Married,4,Graduation,34213,1,1,0.202175929,0,0
9323,9/7/12,1949,Not Married,8,Master,49912,0,1,0.299887345,0,0
1146,9/7/12,1949,Not Married,8,Master,49912,0,1,0.299887345,0,0
7079,9/8/12,1962,Not Married,23,Graduation,63887,0,1,0.386868492,0,0
35,9/8/12,1987,Married,1,Graduation,25545,1,0,0.148225834,1,0
347,9/8/12,1976,Not Married,27,Graduation,40780,0,1,0.243049288,0,1
7108,9/8/12,1965,Not Married,20,Master,51390,1,1,0.309086496,0,0
8783,9/8/12,1950,Married,13,Graduation,57045,0,1,0.344283518,1,0
8041,9/8/12,1971,Not Married,71,PhD,47111,0,1,0.282453771,0,1
9733,9/9/12,1978,Not Married,4,Basic,24882,1,0,0.144099286,0,0
7342,9/9/12,1961,Not Married,142,2n Cycle,59184,0,1,0.357596768,0,1
8462,9/9/12,1978,Not Married,4,Basic,24882,1,0,0.144099286,0,0
380,9/10/12,1954,Not Married,48,Graduation,64497,0,1,0.390665165,0,1
8560,9/10/12,1992,Not Married,16,Graduation,48789,0,0,0.292897733,0,0
10473,9/10/12,1956,Not Married,19,PhD,78028,0,1,0.474882832,0,0
1970,9/10/12,1968,Not Married,0,Master,34053,0,1,0.201180081,0,0
1402,9/11/12,1954,Married,36,Master,66991,0,0,0.406187954,1,1
5331,9/11/12,1977,Married,51,Graduation,74985,0,0,0.455943037,1,1
4095,9/11/12,1971,Married,37,Graduation,37150,1,0,0.220455974,1,1
8717,9/12/12,1975,Married,71,PhD,80427,0,1,0.489814336,1,1
10151,9/12/12,1960,Not Married,46,Graduation,62204,0,1,0.37639341,0,1
8692,9/12/12,1952,Not Married,17,Graduation,43462,1,1,0.2597422,0,0
6818,9/12/12,1974,Married,0,Graduation,44989,0,1,0.269246329,1,0
9204,9/12/12,1970,Not Married,159,Graduation,66731,0,1,0.4045697,0,1
9826,9/12/12,1972,Not Married,102,PhD,86857,0,0,0.529835,0,1
5830,9/12/12,1972,Not Married,102,PhD,86857,0,0,0.529835,0,1
4415,9/12/12,1961,Married,4,Graduation,16860,1,1,0.094169929,1,0
7807,9/12/12,1974,Married,0,Graduation,44989,0,1,0.269246329,1,0
7872,9/12/12,1975,Married,21,PhD,86836,0,0,0.529704295,1,0
8832,9/12/12,1976,Not Married,5,Master,37509,1,0,0.222690409,0,0
2426,9/14/12,1964,Not Married,74,PhD,78825,0,0,0.479843403,0,1
5430,9/14/12,1956,Not Married,0,Graduation,54450,1,1,0.328132099,0,0
8432,9/14/12,1956,Not Married,0,Graduation,54450,1,1,0.328132099,0,0
2525,9/14/12,1974,Married,64,PhD,38410,0,0,0.228298282,1,1
5015,9/14/12,1976,Married,6,Master,34529,1,0,0.20414273,1,0
7414,9/15/12,1971,Married,1,Graduation,43824,1,1,0.261995307,1,0
4947,9/15/12,1966,Not Married,24,2n Cycle,89572,0,0,0.546733306,0,0
1241,9/17/12,1984,Married,3,2n Cycle,14796,1,0,0.081323483,1,0
3104,9/17/12,1961,Not Married,59,Graduation,82332,0,0,0.501671158,0,1
7233,9/17/12,1972,Married,32,Graduation,69209,0,0,0.419992905,1,1
6609,9/18/12,1966,Not Married,26,Graduation,27038,0,0,0.157518345,0,0
10749,9/18/12,1991,Not Married,18,Graduation,8028,0,0,0.039199089,0,0
5093,9/18/12,1974,Not Married,3,PhD,25509,1,0,0.148001768,0,0
4427,9/18/12,1995,Not Married,27,2n Cycle,83257,0,0,0.507428408,0,1
521,9/18/12,1985,Not Married,77,Graduation,54006,1,0,0.32536862,0,1
8524,9/18/12,1974,Not Married,3,PhD,25509,1,0,0.148001768,0,0
1890,9/19/12,1971,Not Married,1,2n Cycle,42033,1,1,0.250848027,0,0
679,9/20/12,1957,Married,4,PhD,37633,1,1,0.223462192,1,0
1351,9/20/12,1956,Not Married,12,Master,58656,0,1,0.354310468,0,0
4299,9/21/12,1960,Not Married,17,Graduation,70971,0,1,0.430959687,0,0
4640,9/21/12,1967,Not Married,85,Graduation,70647,0,1,0.428943093,0,1
2931,9/21/12,1978,Not Married,21,Graduation,71847,0,0,0.436411958,0,0
2870,9/21/12,1973,Married,0,Graduation,49094,0,1,0.294796069,1,0
2227,9/22/12,1958,Not Married,47,2n Cycle,26490,0,0,0.154107564,0,1
2379,9/22/12,1953,Not Married,44,Graduation,69267,0,0,0.4203539,0,1
946,9/22/12,1958,Not Married,47,2n Cycle,26490,0,0,0.154107564,0,1
5031,9/22/12,1974,Not Married,35,Graduation,83145,0,0,0.506731314,0,1
10356,9/22/12,1957,Not Married,0,PhD,41437,1,1,0.247138491,0,0
531,9/22/12,1954,Not Married,14,PhD,57333,0,1,0.346076045,0,0
9058,9/23/12,1955,Not Married,21,Graduation,79800,0,0,0.485911855,0,0
3619,9/23/12,1960,Not Married,25,2n Cycle,87305,0,0,0.532623376,0,0
5687,9/23/12,1980,Not Married,50,Graduation,81702,0,0,0.497750005,0,1
3403,9/24/12,1958,Not Married,19,PhD,78952,0,1,0.480633858,0,0
5207,9/24/12,1963,Married,6,PhD,53378,1,1,0.321459914,1,0
10648,9/25/12,1982,Not Married,96,2n Cycle,66664,0,0,0.404152688,0,1
5120,9/25/12,1982,Not Married,96,2n Cycle,66664,0,0,0.404152688,0,1
2375,9/25/12,1972,Not Married,0,Graduation,30261,1,1,0.17757847,0,0
4974,9/25/12,1970,Not Married,89,Graduation,83273,1,1,0.507527993,0,1
1343,9/26/12,1968,Not Married,24,Graduation,58554,1,1,0.353675615,0,0
5453,9/26/12,1956,Married,108,Master,90226,0,0,0.550803837,1,1
4749,9/26/12,1968,Not Married,24,Graduation,58554,1,1,0.353675615,0,0
9999,9/27/12,1965,Not Married,105,Graduation,75276,0,0,0.457754237,0,1
10478,9/27/12,1950,Married,0,PhD,55517,1,1,0.334773164,1,0
7274,9/28/12,1957,Married,163,Graduation,78618,0,0,0.478555024,1,1
1907,9/28/12,1950,Not Married,69,Master,63120,0,1,0.382094643,0,1
618,9/28/12,1977,Married,7,PhD,69389,0,1,0.421113234,1,0
7022,9/28/12,1971,Married,107,Graduation,76445,1,0,0.465030156,1,1
10343,9/29/12,1991,Not Married,91,2n Cycle,61618,0,0,0.372746115,0,1
1103,9/29/12,1976,Married,55,Master,81929,1,0,0.499162865,1,1
4943,9/30/12,1953,Married,33,Graduation,70503,0,0,0.42804683,1,1
3202,10/1/12,1987,Married,0,PhD,51563,0,0,0.310163257,1,0
2882,10/1/12,1975,Not Married,28,2n Cycle,67893,0,1,0.41180205,0,1
4491,10/1/12,1949,Married,0,Master,62845,1,1,0.380383028,1,0
873,10/1/12,1949,Married,0,Master,62845,1,1,0.380383028,1,0
8486,10/1/12,1971,Not Married,0,Master,30538,1,0,0.179302533,0,0
7349,10/2/12,1973,Not Married,17,Basic,9722,1,0,0.049742635,0,0
7230,10/4/12,1960,Not Married,0,PhD,50611,0,1,0.304237958,0,0
3007,10/4/12,1966,Not Married,2,Graduation,37758,1,1,0.224240199,0,0
4271,10/4/12,1989,Not Married,35,2n Cycle,38683,1,0,0.229997448,0,1
5675,10/4/12,1960,Not Married,0,PhD,50611,0,1,0.304237958,0,0
5513,10/4/12,1966,Not Married,2,Graduation,37758,1,1,0.224240199,0,0
4786,10/4/12,1977,Married,82,Graduation,75330,1,1,0.458090336,1,1
6927,10/5/12,1968,Married,0,PhD,44377,1,1,0.265437209,1,0
6202,10/5/12,1960,Not Married,50,Graduation,63381,0,1,0.383719121,0,1
3856,10/5/12,1960,Not Married,50,Graduation,63381,0,1,0.383719121,0,1
7290,10/5/12,1985,Not Married,44,Graduation,70596,0,0,0.428625667,0,1
9771,10/5/12,1988,Not Married,20,2n Cycle,23331,1,0,0.134445779,0,0
8895,10/5/12,1985,Not Married,44,Graduation,70596,0,0,0.428625667,0,1
793,10/6/12,1973,Married,3,Graduation,20895,1,0,0.119283985,1,0
7441,10/6/12,1973,Not Married,159,Graduation,71128,1,0,0.431936863,0,1
3678,10/7/12,1973,Not Married,23,Graduation,60208,1,1,0.363970199,0,0
7055,10/9/12,1952,Not Married,0,PhD,61010,0,1,0.36896189,0,0
2569,10/10/12,1987,Married,14,Graduation,17323,0,0,0.097051666,1,0
5710,10/10/12,1970,Not Married,0,Graduation,40548,0,1,0.241605308,0,0
10264,10/10/12,1979,Not Married,2,Graduation,15287,1,0,0.084379493,0,0
9286,10/10/12,1960,Not Married,28,Master,83151,0,0,0.506768658,0,1
234,10/10/12,1979,Not Married,2,Graduation,15287,1,0,0.084379493,0,0
5667,10/11/12,1964,Married,30,PhD,60896,0,1,0.368252348,1,1
7503,10/12/12,1976,Not Married,105,Graduation,75825,0,0,0.461171242,0,1
3710,10/12/12,1984,Not Married,0,PhD,39684,1,0,0.236227726,0,0
7011,10/12/12,1973,Married,2,Graduation,33471,1,0,0.197557681,1,0
6613,10/12/12,1970,Married,7,Master,44511,1,0,0.266271232,1,0
3661,10/12/12,1995,Not Married,51,2n Cycle,80617,0,0,0.490996907,0,1
5304,10/13/12,1974,Not Married,0,PhD,30899,1,0,0.181549416,0,0
3933,10/13/12,1980,Not Married,36,Graduation,44010,1,0,0.263152981,0,1
5985,10/13/12,1965,Not Married,1,Master,33168,0,1,0.195671793,0,0
10525,10/13/12,1986,Not Married,0,Graduation,26576,1,0,0.154642833,0,0
4042,10/13/12,1971,Not Married,3,Graduation,43300,0,1,0.258733903,0,0
164,10/13/12,1977,Married,0,PhD,28973,0,0,0.169561889,1,0
9209,10/14/12,1971,Not Married,138,Master,80573,0,0,0.490723048,0,1
9645,10/14/12,1968,Married,138,Graduation,64590,0,0,0.391244002,1,1
6977,10/14/12,1974,Not Married,0,Graduation,75702,0,1,0.460405684,0,0
6417,10/14/12,1971,Not Married,138,Master,80573,0,0,0.490723048,0,1
9246,10/14/12,1985,Not Married,3,Master,40101,1,0,0.238823156,0,0
9703,10/15/12,1970,Married,2,PhD,38097,1,1,0.226350153,1,0
3074,10/15/12,1984,Married,107,PhD,70643,0,0,0.428918197,1,1
5959,10/15/12,1968,Not Married,0,Graduation,35893,1,1,0.212632339,0,0
9405,10/15/12,1954,Married,3,PhD,52869,1,1,0.318291871,1,0
309,10/16/12,1961,Not Married,21,PhD,63342,0,1,0.383476383,0,0
9653,10/16/12,1975,Married,1,Graduation,35797,0,1,0.21203483,1,0
1079,10/16/12,1971,Married,0,PhD,71969,0,1,0.437171292,1,0
3571,10/16/12,1961,Not Married,21,PhD,63342,0,1,0.383476383,0,0
9973,10/17/12,1963,Married,9,Graduation,50437,0,1,0.303154973,1,0
2447,10/17/12,1979,Not Married,12,Graduation,30545,1,0,0.179346101,0,0
9949,10/18/12,1976,Married,16,Graduation,59809,0,1,0.361486802,1,0
1041,10/18/12,1973,Not Married,3,PhD,48432,0,1,0.290675745,0,0
6147,10/18/12,1971,Not Married,2,Graduation,25818,1,0,0.149925,0,0
492,10/18/12,1973,Not Married,3,PhD,48432,0,1,0.290675745,0,0
11133,10/18/12,1973,Not Married,3,PhD,48432,0,1,0.290675745,0,0
821,10/19/12,1992,Not Married,61,Master,92859,0,0,0.567191769,0,1
6218,10/20/12,1965,Married,4,Graduation,59594,0,1,0.36014863,1,0
3138,10/20/12,1956,Not Married,27,Graduation,91249,0,0,0.557171043,0,1
1272,10/21/12,1965,Not Married,58,Master,55250,0,1,0.333111342,0,1
3406,10/22/12,1964,Not Married,33,Graduation,45989,0,1,0.275470383,0,1
7736,10/22/12,1986,Married,7,Graduation,22518,1,0,0.129385624,1,0
10448,10/22/12,1956,Not Married,41,Graduation,46998,0,1,0.281750453,0,1
8970,10/23/12,1972,Married,22,PhD,62010,0,1,0.375185944,1,0
796,10/23/12,1965,Not Married,44,2n Cycle,60161,0,1,0.363677669,0,1
4530,10/24/12,1948,Not Married,19,Master,78427,0,0,0.47736623,0,0
7375,10/25/12,1976,Not Married,7,Graduation,51369,0,1,0.308955791,0,0
10144,10/25/12,1976,Not Married,7,Graduation,51369,0,1,0.308955791,0,0
5252,10/26/12,1969,Not Married,12,Graduation,23910,1,0,0.138049506,0,0
2457,10/26/12,1975,Married,4,Basic,30801,0,1,0.180939459,1,0
9292,10/26/12,1952,Married,132,Graduation,81795,0,0,0.498328842,1,1
11056,10/27/12,1974,Married,91,Graduation,72099,0,0,0.437980419,1,1
6575,10/27/12,1981,Not Married,48,Graduation,56386,1,1,0.340181867,0,1
10837,10/28/12,1975,Married,1,Graduation,23957,1,0,0.138342037,1,0
10313,10/28/12,1975,Married,4,Graduation,48178,1,1,0.289094836,1,0
3921,10/28/12,1952,Not Married,1,2n Cycle,28457,0,0,0.166350277,0,0
955,10/28/12,1962,Not Married,2,Master,47175,1,1,0.28285211,0,0
7373,10/29/12,1952,Not Married,12,PhD,46610,0,1,0.27933552,0,0
8932,10/29/12,1969,Not Married,28,Master,65176,0,1,0.394891297,0,1
4324,10/29/12,1989,Married,0,Graduation,42387,1,0,0.253051342,1,0
4211,10/29/12,1986,Married,12,Basic,20425,1,0,0.11635868,1,0
10905,10/29/12,1955,Not Married,2,Graduation,42586,1,1,0.254289929,0,0
8910,10/29/12,1955,Not Married,2,Graduation,42586,1,1,0.254289929,0,0
1168,10/29/12,1978,Married,53,PhD,72159,0,0,0.438353862,1,1
7899,10/29/12,1952,Married,33,PhD,77610,0,1,0.472281178,1,1
1407,10/29/12,1986,Married,12,Basic,20425,1,0,0.11635868,1,0
4673,10/30/12,1963,Married,12,PhD,81300,0,1,0.495247935,1,0
4543,10/31/12,1980,Married,129,Graduation,82497,0,0,0.502698127,1,1
9213,10/31/12,1970,Not Married,1,Graduation,31880,1,0,0.187655212,0,0
10581,10/31/12,1977,Married,7,Graduation,41124,1,0,0.245190363,1,0
10245,10/31/12,1986,Not Married,80,2n Cycle,80910,0,0,0.492820554,0,1
3439,10/31/12,1972,Married,6,Graduation,56721,1,1,0.342266925,1,0
6055,11/1/12,1979,Married,72,Graduation,71626,0,0,0.435036442,1,1
9530,11/1/12,1988,Married,3,Graduation,24645,1,0,0.142624185,1,0
2798,11/2/12,1977,Not Married,29,PhD,102160,0,0,0.625081691,0,1
10676,11/2/12,1982,Married,193,Graduation,63211,0,0,0.382661032,1,1
2278,11/3/12,1985,Not Married,17,2n Cycle,33812,1,0,0.199680084,0,0
4240,11/3/12,1978,Married,9,Graduation,17345,1,0,0.097188595,1,0
6730,11/3/12,1954,Married,1,Graduation,38998,1,1,0.231958025,1,0
5907,11/3/12,1952,Married,0,Master,33444,1,1,0.197389632,1,0
9916,11/3/12,1954,Married,1,Graduation,38998,1,1,0.231958025,1,0
2156,11/3/12,1955,Married,0,PhD,22554,1,1,0.12960969,1,0
9648,11/3/12,1967,Not Married,4,Graduation,46904,1,1,0.281165392,0,0
10702,11/3/12,1984,Not Married,8,Graduation,52413,1,0,0.315453702,0,0
8985,11/4/12,1964,Not Married,80,2n Cycle,68316,0,1,0.414434825,0,1
9260,11/5/12,1945,Married,16,PhD,70356,0,0,0.427131894,1,0
8952,11/5/12,1953,Married,46,Master,65569,0,1,0.39733735,1,1
5043,11/5/12,1951,Married,23,Basic,26997,0,0,0.157263159,1,0
3594,11/5/12,1973,Married,6,Master,54108,1,1,0.326003473,1,0
1990,11/5/12,1974,Not Married,34,PhD,63159,0,0,0.382337381,0,1
4856,11/6/12,1957,Married,54,2n Cycle,82347,0,0,0.501764519,1,1
8722,11/6/12,1957,Married,54,2n Cycle,82347,0,0,0.501764519,1,1
4945,11/7/12,1953,Not Married,10,Graduation,53653,0,0,0.323171529,0,0
10446,11/7/12,1957,Married,23,PhD,82017,0,0,0.499710582,1,0
7706,11/7/12,1975,Not Married,104,2n Cycle,46772,0,1,0.280343817,0,1
1459,11/7/12,1966,Married,35,PhD,69063,0,1,0.419084193,1,1
6497,11/7/12,1960,Married,6,Graduation,51651,0,1,0.310710974,1,0
6566,11/8/12,1954,Married,50,PhD,72550,1,1,0.440787467,1,1
8369,11/8/12,1987,Not Married,2,Graduation,18227,1,0,0.10267821,0,0
3298,11/8/12,1956,Married,0,Master,52973,0,1,0.318939172,1,0
9909,11/9/12,1996,Married,18,2n Cycle,7500,0,0,0.035912789,1,0
8213,11/9/12,1980,Not Married,4,2n Cycle,14515,1,0,0.079574524,0,0
10882,11/9/12,1976,Married,53,Graduation,53858,0,1,0.32444746,1,1
10299,11/9/12,1969,Not Married,91,PhD,48240,0,0,0.289480727,0,1
2407,11/9/12,1982,Married,25,Graduation,69109,0,0,0.419370499,1,0
5289,11/9/12,1975,Not Married,4,2n Cycle,41658,1,1,0.248514007,0,0
5636,11/9/12,1963,Not Married,4,Graduation,30983,0,0,0.182072236,0,0
9064,11/9/12,1982,Married,25,Graduation,69109,0,0,0.419370499,1,0
